year,group,basis,outcome,n,events,estimate,se,lower,upper,design_df,effective_n,precision_flag
2021,65+,annual_full_weight,any_barrier,677,79,0.112385829244956,0.0131180149475657,0.0890548459332111,0.140883849896959,351,579.694978852364,passes_initial_screen
2022,All survivors,annual_full_weight,any_barrier,999,147,0.159535908015347,0.0142289609032269,0.133508161678413,0.189527952772207,411,662.26414007046,passes_initial_screen
2022,All survivors,annual_full_weight,universal_barrier,999,128,0.139308585339198,0.0132684393946615,0.115211747689929,0.167491278359288,411,681.060452807965,passes_initial_screen
2022,All survivors,annual_full_weight,delayed_care,1002,75,0.0795180928764398,0.0101141275649893,0.0617721745028411,0.101808862056523,412,715.524251947094,passes_initial_screen
2022,All survivors,annual_full_weight,forgone_care,1002,77,0.0840319259150186,0.0103325063962277,0.0658249493036497,0.106699694182645,412,720.963516396561,passes_initial_screen
2022,All survivors,annual_full_weight,forgone_rx,998,76,0.0807163903627076,0.0100422755256261,0.0630505323260654,0.102788955375556,412,735.778313924467,passes_initial_screen
2022,All survivors,annual_full_weight,rx_underuse,953,68,0.0693242488248488,0.00938517818221943,0.0529960568543935,0.090204000871501,401,732.484646983089,passes_initial_screen
2022,18-64,annual_full_weight,any_barrier,303,78,0.253746483519944,0.0272487697677511,0.203779183841158,0.311177564081336,166,255.030794650435,passes_initial_screen
2022,65+,annual_full_weight,any_barrier,696,69,0.101271670448454,0.0144972882549154,0.0761053864143303,0.133556857668295,340,433.054800100258,passes_initial_screen
2023,All survivors,annual_full_weight,any_barrier,1116,169,0.152778053447277,0.0137279163428956,0.127705286169705,0.181747777840689,455,686.829470693596,passes_initial_screen
2023,All survivors,annual_full_weight,universal_barrier,1117,144,0.133316028796337,0.0129942354542645,0.10978286780253,0.160981547091597,456,684.292325549527,passes_initial_screen
2023,All survivors,annual_full_weight,delayed_care,1118,69,0.0710648460677674,0.0107917331526755,0.0525652074588858,0.0954194749730394,456,566.836518550736,passes_initial_screen
2023,All survivors,annual_full_weight,forgone_care,1119,71,0.0754823359993205,0.0110359379163328,0.0564575658356054,0.100236915801675,456,572.983410470287,passes_initial_screen
2023,All survivors,annual_full_weight,forgone_rx,1117,98,0.0877524972282409,0.0105034846313292,0.0691874199422999,0.110706660506981,456,725.613507852735,passes_initial_screen
2023,All survivors,annual_full_weight,rx_underuse,1065,87,0.0832089505913022,0.0107853826525943,0.0643210981300929,0.107008895097171,445,655.7968005783,passes_initial_screen
2023,18-64,annual_full_weight,any_barrier,364,86,0.221219864453698,0.0266345150790004,0.173181069239967,0.278102108361066,221,242.856313830485,passes_initial_screen
2023,65+,annual_full_weight,any_barrier,752,83,0.103548734463107,0.0124179400819338,0.0815518381600901,0.130634926453024,375,601.966551429787,passes_initial_screen
2024,All survivors,annual_full_weight,any_barrier,1229,215,0.200227636632462,0.0146389403565638,0.173002582778959,0.230542688788117,481,747.258960252616,passes_initial_screen
2024,All survivors,annual_full_weight,universal_barrier,1228,187,0.179158365479807,0.0142180335114399,0.152900576109866,0.208813876700122,481,727.473874127039,passes_initial_screen
2024,All survivors,annual_full_weight,delayed_care,1230,108,0.104586587701465,0.0114241917142061,0.0841717867601649,0.129253939074962,482,717.544143111914,passes_initial_screen
2024,All survivors,annual_full_weight,forgone_care,1230,90,0.0854992369900196,0.0106905121240423,0.066699762265748,0.10897867480162,481,684.146784992733,passes_initial_screen
2024,All survivors,annual_full_weight,forgone_rx,1228,127,0.119750355236029,0.0124127502104907,0.0974242643573732,0.14636310096257,481,684.142605190995,passes_initial_screen
2024,All survivors,annual_full_weight,rx_underuse,1173,115,0.108730299575269,0.0124833429468399,0.0865183531696437,0.135797016203205,468,621.867590564017,passes_initial_screen
2024,18-64,annual_full_weight,any_barrier,402,122,0.321400061109685,0.0291982093133609,0.266771808834783,0.381396048033016,240,255.827564337739,passes_initial_screen
2024,65+,annual_full_weight,any_barrier,827,93,0.115123713314054,0.0135069600532759,0.0911126080839122,0.144456805436229,388,558.382906877341,passes_initial_screen
2025,All survivors,annual_full_weight,any_barrier,889,138,0.167816899671497,0.0153841100030274,0.139705569192726,0.200267966246922,402,590.078555984342,passes_initial_screen
2025,All survivors,annual_full_weight,universal_barrier,889,114,0.141156752502214,0.0143403446910602,0.115244278916138,0.171764481093973,402,589.517067292729,passes_initial_screen
2025,All survivors,annual_full_weight,delayed_care,889,56,0.0654909682399527,0.0100121017325046,0.0483509501316323,0.0881442085780681,402,610.540399721126,passes_initial_screen
2025,All survivors,annual_full_weight,forgone_care,889,57,0.0710735510464744,0.0108547163593339,0.0524745386053254,0.0955996603354584,402,560.340978384008,passes_initial_screen
2025,All survivors,annual_full_weight,forgone_rx,888,74,0.0966831407429349,0.0127418003797043,0.0743683113623031,0.124791018127576,402,537.934343617897,passes_initial_screen
2025,All survivors,annual_full_weight,rx_underuse,845,78,0.0996674733844861,0.0132836233293969,0.0764237938565994,0.128993171137101,394,508.537852448774,passes_initial_screen
2025,18-64,annual_full_weight,any_barrier,284,72,0.24959650308984,0.0297409852823152,0.195585390046839,0.312724395799829,178,211.749620935167,passes_initial_screen
2025,65+,annual_full_weight,any_barrier,605,66,0.110922077192608,0.0154634186152401,0.0839493297310273,0.145187567524662,317,412.426719798464,passes_initial_screen
