variable,level,reference,coef,variance,df,p_reference,p_level,imputation
insurance,Uninsured,Private,0.697632157757404,0.0103377742716978,986,0.200506519585347,0.402815612736362,3
disability,With disability,Without disability,0.165690453472727,0.00401097719708187,986,0.166471512643715,0.196470963712026,3
young,18-64,65+,0.755626196604427,0.00474723056915955,988,0.119607416422976,0.254637520697009,3
income_group,200-399%,400%+,0.704922445839368,0.0119523621221265,986,0.0940059106024492,0.190238796153594,4
income_group,100-199%,400%+,0.90043029070497,0.0147243947728287,986,0.0940059106024492,0.23131674221792,4
income_group,<100%,400%+,0.668180935628196,0.0186084558698238,986,0.0940059106024492,0.183375982563975,4
insurance,Public without private,Private,-0.333818877212529,0.00500237540530219,986,0.201778041518056,0.144510101501587,4
insurance,Military only,Private,-0.195625570117882,0.0568510789039526,986,0.201778041518056,0.16592613489059,4
insurance,Uninsured,Private,0.676526954882006,0.0104886672870639,986,0.201778041518056,0.39690431988312,4
disability,With disability,Without disability,0.163253495487854,0.00400780512814444,986,0.166636622432305,0.196187144701587,4
young,18-64,65+,0.756083876581613,0.00474330891927422,988,0.11954739682356,0.254626252989647,4
income_group,200-399%,400%+,0.681920976851376,0.0123361948865388,986,0.0958858670891239,0.189630904801754,5
income_group,100-199%,400%+,0.878507639413868,0.0141778066634528,986,0.0958858670891239,0.230826475311372,5
income_group,<100%,400%+,0.646528660338227,0.0185197864308204,986,0.0958858670891239,0.183036806317119,5
insurance,Public without private,Private,-0.330552823871736,0.00493572618480134,986,0.20130275566005,0.144641345354406,5
insurance,Military only,Private,-0.175157305401007,0.0554316832890047,986,0.20130275566005,0.16895843137467,5
insurance,Uninsured,Private,0.681969209980584,0.0103656604072636,986,0.20130275566005,0.398130257484703,5
disability,With disability,Without disability,0.162794789115358,0.00402397603655893,986,0.166684522361667,0.19615354145067,5
young,18-64,65+,0.759258146926092,0.00480389944398323,988,0.119381819870498,0.255082003011648,5
income_group,200-399%,400%+,0.699862489582478,0.0126961574376069,986,0.0949113272033555,0.191101661849199,6
income_group,100-199%,400%+,0.891065313063857,0.0145958284314094,986,0.0949113272033555,0.23136773494468,6
income_group,<100%,400%+,0.652822699068037,0.0191323600214896,986,0.0949113272033555,0.182320432460762,6
insurance,Public without private,Private,-0.327200102477994,0.00495765687101381,986,0.200810205228546,0.144772002289137,6
insurance,Military only,Private,-0.192623226474037,0.0572826890334145,986,0.200810205228546,0.165626786467871,6
insurance,Uninsured,Private,0.690979495063609,0.0102127881088127,986,0.200810205228546,0.40075076661601,6
disability,With disability,Without disability,0.159385594413781,0.00402322942689371,986,0.166897432738939,0.195735653628651,6
young,18-64,65+,0.761314796124577,0.00480768038391029,988,0.119274418595957,0.25537720131476,6
income_group,200-399%,400%+,0.698080277168387,0.0129060409224826,986,0.0942343063064666,0.189400643495691,7
income_group,100-199%,400%+,0.901166630054835,0.014857614397004,986,0.0942343063064666,0.232049551098316,7
income_group,<100%,400%+,0.664522860508415,0.0194111999554612,986,0.0942343063064666,0.183150306302136,7
insurance,Public without private,Private,-0.332887106811371,0.00490591066381127,986,0.201688961830849,0.144580957614581,7
insurance,Military only,Private,-0.198913125566439,0.0570098177107014,986,0.201688961830849,0.165308527615813,7
insurance,Uninsured,Private,0.679701438194213,0.0103705303497691,986,0.201688961830849,0.397990508089774,7
disability,With disability,Without disability,0.162461551976716,0.00400077701264086,986,0.166695411586467,0.196100996813375,7
young,18-64,65+,0.753799873934482,0.00474312110506526,988,0.119695253279978,0.254359553388717,7
income_group,200-399%,400%+,0.702988882976204,0.0127335825228291,986,0.0948180024734346,0.191511560264924,8
income_group,100-199%,400%+,0.888086807050213,0.0147822241772206,986,0.0948180024734346,0.230452806581186,8
income_group,<100%,400%+,0.649511881127785,0.0192288313270806,986,0.0948180024734346,0.181539120762237,8
insurance,Public without private,Private,-0.330028811461888,0.00502615523938117,986,0.201147756189956,0.144605729489055,8
insurance,Military only,Private,-0.182976360235403,0.0559962305336216,986,0.201147756189956,0.16751340588364,8
insurance,Uninsured,Private,0.68965825301532,0.0104613844288314,986,0.201147756189956,0.400894378134911,8
disability,With disability,Without disability,0.160932573263035,0.00403695122906426,986,0.166811429941337,0.195937667495456,8
young,18-64,65+,0.756758400623392,0.00472502081750098,988,0.119519508366944,0.254738622227689,8
income_group,200-399%,400%+,0.680784322103821,0.0124803412542802,986,0.097354063174799,0.192315795835337,9
income_group,100-199%,400%+,0.830903536528398,0.0146193122302289,986,0.097354063174799,0.223465715767861,9
income_group,<100%,400%+,0.641170374414086,0.0189708804705715,986,0.097354063174799,0.184846332201715,9
insurance,Public without private,Private,-0.3205561785058,0.0049612435803022,986,0.199924312112741,0.145094126048588,9
insurance,Military only,Private,-0.177958319845614,0.0558840909923618,986,0.199924312112741,0.167332112576902,9
insurance,Uninsured,Private,0.699316161851763,0.0102785984264271,986,0.199924312112741,0.402322906963008,9
