model,term,log_PR,se,PR,lower,upper,p,df,missing_information
M2,race4,-0.229995830512902,0.27806525512544,0.794536915307845,0.460399613136163,1.37117602138428,0.408363162173643,990.569953704694,0.00247058393747477
M2,race5,-0.102860805521413,0.324714632643031,0.902252553315016,0.477081183575329,1.70633363458764,0.751482671978547,990.26970511656,0.00276137928485821
M2,race6,0.109332655205053,0.220880446684807,1.11553337661026,0.723164781030497,1.72078998725327,0.620720732404308,984.088917131993,0.00687048340659133
M2,race7,0.219132749090582,0.339216414473739,1.24499653787633,0.639840823314321,2.42250310209202,0.51843159489515,986.583819625603,0.00547866866482718
M2,region2,0.169118096422606,0.114836919577663,1.18425998753396,0.945317466868773,1.48359865042949,0.141155988519018,987.040763721578,0.00519597807697381
M2,region3,0.356525790246716,0.106957716936537,1.42835836775835,1.15793200804993,1.76194078111822,0.000889945156467169,989.034623783966,0.00381027944806337
M2,region4,0.14299840399122,0.130867274802695,1.15372796030459,0.892426696983421,1.49153786063093,0.274792423398444,989.390075332755,0.00352823191335553
M2,educationSome college or associate,-0.0630455954360405,0.0894437476381984,0.938900663128024,0.787754632233775,1.11904699655341,0.48106271188405,981.264375260229,0.00822959830576929
M2,educationHigh school or GED,-0.211086306773161,0.0936830258123212,0.809704180910434,0.673727529367667,0.973124641647308,0.0244679275359824,976.593711852293,0.010165426827574
M2,educationLess than high school,-0.0976666098147653,0.112525663737476,0.906951221992053,0.727249473423162,1.13105687818664,0.385634484540648,979.542920225341,0.00898010385681428
M2,income_group200-399%,0.827302312001179,0.118433138995601,2.28714041915935,1.81258712033956,2.8859364817579,6.89709648436278e-12,666.248322859975,0.0650797713741983
M2,income_group100-199%,1.08075631052552,0.126334428697886,2.94690748560326,2.29908630861683,3.77726738494176,1.64623817140267e-16,474.20463400712,0.0988218251418344
M2,income_group<100%,0.889396010628944,0.137898640886077,2.43365930294544,1.85645459899481,3.1903272000402,2.04561111157219e-10,726.375917417607,0.0559207501239708
M2,insurancePublic without private,-0.235586036960653,0.0738811906154104,0.79010768162088,0.683470475796587,0.913382758529157,0.00147495523408123,967.857281179288,0.013180427356311
M2,insuranceMilitary only,-0.188766640217832,0.23110125813547,0.827979701314668,0.526095547204365,1.30309102487579,0.414231921810225,987.842487417704,0.00467227163839984
M2,insuranceUninsured,0.563679489124926,0.0958516588402835,1.75712594613323,1.4558271059653,2.12078177272802,5.65119950096277e-09,950.636888360865,0.0179503797034015
M3,(Intercept),-2.42427306704635,0.261869712419211,0.0885424600854754,0.0529628570560577,0.148023873215339,1.28685849869425e-19,977.730546412341,0.00657985994536664
M3,yearf2020,-0.118188129362341,0.126686974843186,0.888528878518596,0.692950654167588,1.13930705341477,0.351093401854465,981.887164307894,0.00395137900985258
M3,yearf2021,-0.0414557279409394,0.108132395925081,0.95939180865209,0.775960846916859,1.18618438825348,0.701521600541019,980.69885930851,0.00480290020636379
M3,yearf2022,-0.177202173252448,0.111404455138594,0.837610424979683,0.673127830513163,1.0422852721745,0.112016555427052,983.163331671614,0.002880693981362
M3,yearf2023,-0.15742243288039,0.106629707344972,0.854343079970273,0.693037661086146,1.0531925453361,0.140171651699138,981.187988065567,0.00446549797290143
M3,yearf2024,0.0572154512793787,0.100525478899334,1.05888392371704,0.869310527190978,1.28979821230219,0.569375688628323,978.492151323212,0.00615935241680778
M3,yearf2025,-0.121519916076204,0.111033227758649,0.885573416025597,0.712190416293934,1.10116656617235,0.27402798151299,980.662204517684,0.00482753822995064
M3,"splines::ns(age, df = 3)1",-0.863775822794814,0.14642271205337,0.421567309965034,0.316284377310653,0.561896222451102,5.02396473428885e-09,981.09627663447,0.00453003851598025
M3,"splines::ns(age, df = 3)2",-1.63607613587265,0.500241816876374,0.19474268890258,0.0729672758030132,0.519749633841216,0.00111071232944724,980.213858047308,0.00512226763195441
